studlab,treat1,treat2,treat3,Hazard Ratio (OS),95% CI Lower Bound(OS),95% CI Upper Bound(OS),HR OS t3 vs t1,Lower CI t3 vs t1,Upper CI t3 vs t1,,,,n1,n2,n3,event1_ORR,event2_ORR,event3_ORR,event1_DCR,event2_DCR,event3_DCR,Arm 1 Number of Events(Grade ≥3AE),Arm 2 Number of Events(Grade ≥3AE)
Renouf 2022,Gemcitabine+nab-paclitaxel,Gemcitabine+nab-paclitaxel+durvalumab/tremelimumab,,0.94,0.71,1.25,,,,,,,119,61,,36,14,,84,35,,45,12
Macarulla 2025,nal-IRI+5-FU/LV,CM24+nivolumab+nal-IRI+5-FU/LV,,0.81,0.38,1.71,,,,,,,16,15,,4,1,,10,7,,4,1
Enzler 2024,cisplatin+nivolumab,CBP501+cisplatin+nivolumab,CBP501+cisplatin,0.6618,0.2183,2.0065,1.7746,0.6512,4.8356,,,,9,9,9,2,0,0,3,0,3,1,0
Fu Qihan 2023,mFFX,sintilimab+mFFX,,1.07,0.69,1.68,,,,,,,55,55,,28,13,,46,39,,45,40
Tsujikawa 2020,Cy/GVAX+CRS-207,Cy/GVAX+CRS-207+nivolumab,,0.86,0.55,1.34,,,,,,,51,42,,2,1,,7,4,,18,5
Overman 2020,acalabrutinib,acalabrutinib+pembrolizumab,,0.76,0.6,0.92,,,,,,,40,37,,3,0,,8,5,,6,5
Knox 2025,Gemcitabine+nab-paclitaxel,mFFX,,1.57,1.08,2.28,,,,,,,,,,,,,,,,,
Westphalen 2023,Gemcitabine+nab-paclitaxel,nal-IRI+5-FU/LV,Sequential_NAPOLI_FOLFOX,1.178,0.84,1.66,0.879,0.74,1.05,,,,,,,,,,,,,,
Le 2019,single-agent chemotherapy,CRS-207,Cy/GVAX+CRS-207,0.917,0.65,1.294,1.171,0.836,1.641,,,,,,,,,,,,,,
Le 2015,Cy/GVAX,Cy/GVAX+CRS-207,,0.59,0.36,0.97,,,,,,,,,,,,,,,,,
Heinemann 2006,Gemcitabine,Gemcitabine+cisplatin,,0.8,0.59,1.08,,,,,,,,,,,,,,,,,
Colucci 2010,Gemcitabine,Gemcitabine+cisplatin,,1.1,0.89,1.35,,,,,,,,,,,,,,,,,
Wang-Gillam 2019,5-FU/LV,nal-IRI+5-FU/LV,nal-IRI,0.75,0.57,0.99,1.07,0.84,1.36,,,,,,,,,,,,,,
Von Hoff 2013,Gemcitabine,Gemcitabine+nab-paclitaxel,,0.72,0.62,0.83,,,,,,,,,,,,,,,,,
